13184: {0, 1, 2, 3, 4, 5, 7, 16}
13198: {0, 1, 2, 4, 5, 6, 7, 14}
13203: {0, 1, 3, 4, 5, 7, 9, 11}
13204: {2, 6, 8, 10, 13, 17, 19, 23}
13230: {0, 3, 4, 5, 7, 8, 11, 18}
13232: {2, 4, 5, 6, 7, 15, 20, 23}
13241: {0, 2, 3, 4, 5, 7, 8, 11}
13244: {2, 4, 5, 6, 8, 13, 17, 23}
13256: {0, 1, 3, 4, 5, 6, 7, 18}
13264: {0, 2, 3, 4, 5, 6, 8, 17}
13277: {3, 4, 5, 6, 7, 8, 13, 18}
13296: {0, 1, 2, 3, 4, 5, 6, 7}
13303: {0, 2, 10, 11, 15, 17, 19, 23}
13342: {1, 2, 3, 4, 5, 6, 7, 20}
13360: {2, 3, 4, 5, 15, 16, 17, 20}
13367: {1, 3, 4, 5, 6, 7, 9, 20}
13377: {0, 1, 2, 3, 4, 6, 10, 17}
13422: {0, 1, 2, 4, 5, 6, 7, 23}
13424: {0, 1, 2, 3, 4, 5, 6, 17}
13433: {0, 1, 3, 4, 5, 7, 11, 18}
13459: {0, 1, 3, 4, 5, 7, 16, 18}
13476: {0, 1, 2, 4, 5, 6, 7, 23}
13485: {0, 1, 3, 4, 5, 7, 16, 18}
13486: {0, 1, 2, 3, 10, 11, 17, 19}
13487: {2, 4, 5, 6, 7, 8, 13, 14}
13495: {2, 3, 4, 5, 6, 8, 13, 17}
13502: {0, 1, 3, 6, 7, 10, 18, 19}
13577: {0, 1, 2, 3, 4, 5, 6, 7}
13796: {4, 5, 6, 8, 13, 14, 17, 18}
13829: {0, 1, 3, 6, 17, 18, 21, 22}
13830: {0, 1, 2, 3, 5, 12, 16, 19}
13851: {2, 3, 4, 5, 6, 7, 15, 20}
13871: {2, 4, 5, 7, 14, 15, 16, 20}
13873: {0, 1, 3, 4, 7, 9, 10, 11}
13891: {0, 1, 3, 4, 5, 6, 17, 18}
13930: {2, 4, 5, 6, 7, 15, 20, 23}
13931: {0, 1, 2, 4, 5, 6, 14, 17}
13970: {0, 1, 9, 10, 16, 17, 19, 23}
13988: {0, 3, 9, 10, 12, 15, 16, 19}
14027: {0, 2, 5, 6, 15, 17, 21, 23}
14057: {4, 5, 6, 8, 9, 17, 20, 23}
14078: {0, 1, 2, 3, 4, 5, 6, 12}
14098: {2, 4, 5, 7, 8, 11, 14, 20}
14100: {1, 2, 4, 5, 6, 7, 13, 14}
14107: {1, 4, 5, 6, 7, 9, 13, 23}
14108: {0, 2, 3, 6, 7, 8, 10, 19}
14113: {0, 3, 4, 5, 6, 9, 15, 17}
14122: {2, 3, 4, 5, 6, 7, 15, 20}
14193: {2, 3, 4, 5, 6, 12, 15, 20}
14252: {0, 1, 3, 4, 5, 6, 17, 18}
14254: {0, 1, 3, 6, 10, 17, 18, 19}
14256: {0, 1, 2, 3, 4, 5, 6, 17}
14262: {0, 1, 2, 3, 5, 6, 17, 19}
14288: {0, 1, 3, 6, 17, 18, 21, 22}
14307: {0, 1, 2, 3, 4, 5, 6, 17}
14321: {0, 1, 2, 3, 4, 5, 7, 11}
14457: {3, 4, 5, 6, 8, 9, 12, 13}
14487: {0, 4, 5, 6, 8, 17, 18, 23}
14489: {0, 1, 3, 4, 5, 6, 17, 18}
14492: {2, 4, 5, 7, 14, 15, 16, 20}
14524: {1, 2, 3, 4, 5, 6, 7, 13}
14570: {0, 2, 3, 4, 5, 6, 8, 17}
14574: {0, 3, 4, 5, 8, 9, 11, 12}
14576: {1, 2, 3, 5, 6, 7, 20, 21}
14588: {0, 6, 14, 15, 17, 18, 21, 22}
14633: {0, 1, 3, 7, 10, 11, 18, 19}
14635: {2, 4, 5, 6, 13, 14, 15, 17}
14679: {4, 5, 6, 9, 12, 13, 14, 15}
14683: {0, 1, 2, 4, 5, 6, 7, 14}
14685: {0, 1, 2, 4, 5, 6, 7, 14}
14689: {0, 1, 3, 4, 5, 6, 7, 9}
14696: {0, 1, 2, 3, 4, 5, 16, 17}
14698: {1, 3, 4, 6, 7, 9, 10, 20}
14709: {0, 1, 3, 6, 7, 10, 18, 19}
14711: {0, 1, 3, 6, 10, 12, 18, 19}
14730: {0, 1, 2, 4, 5, 6, 17, 23}
14747: {6, 9, 13, 15, 17, 19, 22, 23}
14771: {0, 2, 3, 4, 5, 6, 8, 17}
14783: {3, 4, 5, 6, 9, 15, 17, 20}
14794: {0, 1, 3, 4, 6, 17, 18, 22}
14814: {1, 2, 3, 4, 5, 6, 12, 13}
14828: {0, 1, 3, 10, 11, 17, 18, 19}
14831: {3, 4, 5, 6, 8, 9, 13, 17}
14842: {0, 1, 4, 10, 11, 12, 14, 18}
14843: {2, 6, 8, 10, 12, 13, 14, 19}
14869: {2, 4, 8, 11, 12, 13, 14, 22}
14893: {0, 1, 4, 5, 6, 9, 17, 23}
14905: {0, 1, 3, 4, 5, 6, 12, 18}
14908: {0, 1, 2, 4, 5, 6, 14, 17}
14960: {0, 1, 2, 3, 5, 6, 7, 19}
14986: {2, 3, 4, 5, 8, 13, 16, 17}
15016: {2, 4, 5, 6, 8, 13, 14, 17}
15024: {0, 1, 2, 3, 4, 5, 6, 17}
15027: {0, 1, 2, 3, 5, 6, 17, 19}
15041: {0, 1, 2, 3, 4, 5, 6, 17}
15070: {0, 1, 2, 3, 4, 5, 6, 7}
15096: {3, 4, 5, 6, 7, 15, 18, 20}
15249: {0, 1, 2, 3, 5, 6, 17, 21}
15295: {0, 1, 3, 4, 5, 11, 17, 18}
15304: {2, 4, 5, 7, 8, 13, 16, 23}
